rank,title,rate,casts,tags,region,launched_date,introduction,episode,duration,year,rating_num,rating_per,interests,seen,comments,short_comments
1,司藤,7.8,"{'李木戈 Muge Li': '2012年《玫瑰炒肉丝》 导演', '景甜 Tian Jing': '景甜，中国内地女演员，陕西西安人。曾就读于北京舞蹈学院附中，学习中国民族舞蹈，毕业于北京电影学院表演系07级本科班，2006年9月与周俊伟合作拍摄电影《狂蟒惊魂》，并参加该年中央电视台十大新人评选活动，入围50强。2007年考入北影。之后出演了不少影视剧，并在《战国》、《超时空救兵》等影片中担任主演。', '张彬彬 Binbin Zhang': '现在正拍摄中的电视剧《寂寞空庭春欲晚》里饰...(展开全部)', '李沐宸 Muchen Li': '李玉洁，中国内地女演员。2016年主演校园热血青春网络剧《电竞纪元》饰演女二号周逸阳；2017年主演青春奇幻校园剧《我的仙界学院》饰演女一号墨玹。参演的《鬼吹灯之黄皮子坟》于2017年7月21日上线，她在其中饰演率真可爱的女二号燕子。'}","['剧情', '爱情', '奇幻']",中国大陆,2021-03-08(中国大陆),"
                                　　青年设计师秦放（张彬彬 饰）在一次寻根过程中，因一次意外与沉睡数十年的司藤（景甜 饰）相遇，在帮助司藤寻找身世真相的过程中，两人彼此相知并克服重重阻碍共同成长的故事。
                        ",30,45分钟,2021,65934,"['24.6%', '48.6%', '21.4%', '3.5%', '1.9%']",16466,38951,169,19919
2,你是我的城池营垒,8.1,"{'张彤 Tong Zhang': '张彤，导演、副导演，师从毛卫宁，曾多次担任他的B组导演。', '马思纯 Sichun Ma': '马思纯，1988年出生于安徽蚌埠，毕业于中国传媒大学，7岁参演过电影《三个人的冬天》，13岁饰演过《大宅门》少年白玉婷，于2008年主演电视剧《恋人》，由此开始进入演艺圈。', '白敬亭 Jingting Bai': '同年主演的青春电...(展开全部)', '王阳 Yang Wang': '2010年《血色恋情》\u3000...(展开全部)'}",['爱情'],中国大陆,2021-03-11(中国大陆),"
                                　　该剧根据作家沐清雨同名小说改编，讲述了新晋住院医生米佧在医院联合特警队组织的应急救援培训中，与特警精英邢克垒相识，从一开始因误会引发的敌对，到几次意外救援中邢克垒逐渐被米佧的勇敢坚强无私忘我吸引的浪漫爱情故事。
                        ",40,45分钟,2021,42926,"['33.6%', '43.3%', '16.8%', '5.0%', '1.3%']",13965,24010,137,10850
3,世代,8.4,"{'丹尼尔·巴尔兹 Daniel Barnz': '', '钱宁·戈德弗雷·皮普尔斯 Channing Godfrey Peoples': '', '克洛伊·伊斯特 Chloe East ': '', '玛丽·伯德桑 Mary Birdsong': ''}","['剧情', '喜剧']",美国,2021-03-11(美国),"
                                　　HBO Max项目《世代 Generation》由父女档Zelda与Daniel Barnz，以及Lena Dunham联手开发，这部前两者执笔的半小时黑色喜剧，讲述一群高中生在保守的社区里探索自己的性欲。本剧原本是HBO的项目，题材类似《迷醉 Euphoria》。
                                    
                                　　剧组主演有Martha Plimpton﹑Justice Smith﹑Chloe East﹑Michael Johnston﹑Uly Schlesinger﹑Haley Sanchez﹑Nava Mau﹑Nathanya Alexander﹑Lukita Maxwell及Chase Sui Wonders。
                        ",8,,2021,137,"['39.1%', '47.8%', '8.7%', '3.5%', '0.9%']",316,72,0,25
4,德州巡警,7.2,"{'贾德·帕达里克 Jared Padalecki': '贾德·帕达里克，美国影视演员。父母的职业分别是高中英文老师和税务主管。作为一位品学兼优的学生，高中时他曾被推选为2000年总统奖学金的候选人之一，还曾和搭档Chris Cardenas一起在全国即席演讲联盟（National Forensic League）举办的全国性高中生演讲竞赛中获得“双人组口译”（Duo Interpretation）的冠军。1999年，帕达里克在叔叔的鼓励之下参加了由福克斯电视网赞助的选秀比赛“Claim to Fame”，赢得了比赛并且参加了当年的青少年选择奖颁奖礼，不久后他便被现在的经...(展开全部)', '琳赛·摩根 Lindsey Morgan': '琳赛·摩根（Lindsey Morgan）在德克萨斯州休斯顿长大。她是爱尔兰和西班牙血统. 她在大学开始自己的演艺事业，之后去洛杉矶追求她的梦想。她在《地球百子》扮演Raven。', '基根·艾伦 Keegan Allen': 'He played one of the handsome guys on Big Time Rush in the episode Big Time Jobs.On May 28, 2011, Keegan has been promoted into series regular in Pretty Little Liars', '科比·贝尔 Coby Bell': ''}","['剧情', '犯罪', '西部']",美国,2021-01-21(美国),"
                                　　CW将重启剧集《德州巡警》，贾德·帕达里克(《邪恶力量》)主演并担任执行制片人。Anna Fricke操刀剧本。贾德饰演科尔多尔·沃克，他的妻子去世，两人有两个孩子。他有自己的行事标准，在做了两年卧底工作之后，他回到了德克萨斯州的家中，发现有许多事情要做。他与孩子们建立联系，和保守的家庭发生冲突，并找到了同为骑兵的新伴侣。而此时，他对妻子去世的原因越来越怀疑。
                        ",18,,2021,93,"['24.4%', '25.6%', '35.9%', '11.5%', '2.6%']",215,76,0,28
5,血色土地 第一季,8.0,"{'皮特·特拉维斯 Pete Travis': '', '詹姆斯·内斯比特 James Nesbitt': 'William James Nesbitt, OBE (born 15 January 1965) is an actor and presenter from Northern Ireland. Born in Ballymena, County Antrim, Nesbitt grew up in the nearby village of Broughshane, before moving to Coleraine, County Londonderry. He wanted to become a teacher like his father, so he began a degree in French at the University of Ulster. He dropped out after a year when he decided to become an actor, and transferred to the Central School...(展开全部)', '罗肯·克兰尼奇 Lorcan Cranitch': '', '查莲妮·麦肯纳 Charlene McKenna': 'Charlene McKenna is an award-winning Irish actress. Born in Glaslough, County Monaghan, she became a household name and face in Ireland after starring as Jennifer in the television series Pure Mule in 2005.She has had numerous other roles in television dramas in Ireland, including Raw, Single-Handed 2 and Whistleblower. She won the Best Actress (Television) award at the Irish Film and Television Awards in 2009 for Raw and won the Outstandi...(展开全部)'}",['剧情'],英国,2021-02-21(英国),"
                                　　本剧为北爱题材，讲述了一辆从斯特兰福特湾中捞起的车中发现了疑似为自杀遗言的纸条，北爱尔兰警探Tom Brannick将其与一桩臭名昭著的悬案联系了起来，而他和这起旧案有诸多关联。这个发现引发了对一名传奇杀手坚持不懈的追捕。
                        ",4,60分钟,2021,111,"['32.9%', '40.5%', '21.5%', '5.1%', '0.0%']",333,92,2,24
6,山河令,8.6,"{'成志超 Gary Sing': '成志超，1975年出生于中国香港，1989年加入香港TVB，担任《古惑夕阳红》《灵异侦缉档案》《金牙大状》导演职位 。1998年离开TVB ，参与大陆电视剧的导演工作。现任光芒影业/青春光芒影业的制作总监、总导演 。 参与作品有电视剧《天坑鹰猎》 《我们的少年时代》《旋风少女》《旋风少女2》《活色生香》等 。2017年凭借《旋风少女2》和《我们的少年时代》两部作品荣获美国亚洲影视节和纽约电影节影视节的金橡树奖。', '马华干 Jones Wah-Kon Ma': '', '张哲瀚 Zhehan Zhang': '张哲瀚，影视演员，毕业于上海戏剧学院。主演电视剧《芸汐传》、《谁都渴望遇见你》，电影《烈火英雄》，参演电视剧《琅琊榜》等。', '龚俊 Jun Gong': '2021年2月22日，主演的电视剧《山河令》定档在优酷视频播出，在剧中饰演温客行。'}","['剧情', '武侠', '古装']",中国大陆,2021-02-22(中国大陆),"
                                　　本剧讲述了天窗首领周子舒为求自由，不惜以生命为代价退出组织，命不久矣之际遇上一心灭世的鬼谷谷主温客行，两人因卷入江湖纷争相识相知，最终成为彼此救赎的故事。一场阴谋，两个知己，五块宝藏拼图，廿载恩怨，千百年江湖梦。
                        ",36,45分钟,2021,259045,"['49.4%', '36.9%', '9.9%', '1.8%', '2.1%']",31485,169699,1602,88876
7,窥探,8.7,"{'崔俊裴 Joon-bae Choi': '', '李昇基 Seung gi Lee': '李升基——韩国歌手、演员、MC。学校乐队演出时被韩国国民歌手李善姬女士发现并挖掘，经过两年练习生生活，于2004年凭借1辑主打曲《因为是我的女人》以歌手身份出道，得到大批姐姐粉丝的喜爱，获得当年多项新人奖。之后推出的2辑，3辑以及翻唱专辑均获得成功，期间出演了《Nonstop 5》和《传闻中的七公主》等电视剧，并积极活跃于各大综艺节目，可爱善良的“国民弟弟”形象深入人心。2007年底作为固定成员出演KBS综艺节目《Happy Sunday-两天一夜》，在其中展现出亲切温暖的“...(展开全部)', '李熙俊 Hee-jun Lee': '李熙俊，韓國著名話劇演員，曾出演過多部電影電視劇，2012年在KBS週末劇《順藤而上的你》中飾演女主角金南珠的學生並最終成為女主角的二小姑子的丈夫的千在勇一角，幽默神情的演技獲得很多觀眾的喜愛。', '朴柱炫 Joo-Hyun Park': '韩国女演员，在《人间课堂》中饰演裴圭里。'}","['剧情', '悬疑', '犯罪']",韩国,2021-03-03(韩国),"
                                　　以「如果可以通过胎儿基因检测是否为精神病患者，肚子里的孩子被确认是患者，您是否会选择生下来？」为主题所展开的故事。将不同于以往精神病题材的电视剧。
                                    
                                　　李昇基饰演正直的年轻刑警，面对不公正的事就据理力争，将与让全国陷入恐怖的先天精神病患的罪犯对峙，完全改变自己人生的角色。
                        ",20,80分钟,2021,10565,"['50.3%', '39.4%', '7.6%', '1.3%', '1.5%']",33290,4431,75,1563
8,第二名的逆袭,8.9,"{'姜瑞智 Jui-Chih Chiang': '2011 年，姜瑞智自编自导个人首部微电影作品《RESTART》。2014年，担任都市爱情剧《你照亮我星球》的副导演。2015年，担任动作剧情片《角头》的副导演。2016年，担任爱情喜剧片《吃吃的爱》的副导演；同年，执导爱情喜剧《必胜练习生》。2017年，担任动作剧情片《角头2：王者再起》的执行导演。2018年，姜瑞智凭借校园剧《翻墙的记忆》获第53届台湾电视金钟奖戏剧节目导演奖。2019年，执导都市情感剧《天堂的微笑...(展开全部)', '林子闳 Sam Lin': '台湾新晋偶像团体SpeXial 里年纪最小成员，顶著又短又暴冲的发型外表酷，笑起来有大男孩的爽朗可爱，2012年参与《终极一班2》和师兄汪东城师姐曾沛慈共同演出，扮演中万钧一角。', '杨宇腾 Yang Yu Teng': '杨宇腾（YU、Yusuke），1995年1月3日出生于日本名古屋，中国台湾男演员、歌手。', '张睿家 Bryant Chang': '2008年蕭敬騰《...(展开全部)'}","['爱情', '同性']",中国台湾,2021-03-05(中国台湾),"
                                　　从青春校园到职场逆袭， 五年了，那个幸运还是我的吗？ “华磐资讯”今天人人自危，原因无它，身为被收购的公司，谁不为自己的饭碗担心，就算负责人保证收购方不会轻易调动人事，也难保真能不裁一人，尤其听说对方派来负责整合的经理是传说中“砍人不见血、杀人不手软”的周家大刀王? 周书逸愤恨地瞪着眼前一派轻松自在的高仕德，五年的时间，足够让两个男孩成长为男人，也足够周书逸认清年少轻狂的感情？不服输的他也决定，他若无心我便休，从此青山只认白云俦！没想到五年之后狭路相逢，高仕德是自家收购的科技公司代表。被某个没良心混蛋恶意遗弃的万年老二决定逆袭，他或许学业赢不了他，但工作上，他会让他知道什么叫做收购方的骄傲！
                        ",6,30分钟,2021,10904,"['63.4%', '24.1%', '8.0%', '2.3%', '2.2%']",18258,6153,48,2438
9,锦心似玉,6.2,"{'温德光 De-Guang Wen': '中国电影摄影师，毕业于北京电影学院，1983年进入北京电影制片厂摄影部工作；1988年进入北京电影学院摄影系学习；1988年开始至今拍摄电影、电视剧及影视广告。', '钟汉良 Wallace Chung': '钟汉良，香港影视歌舞四栖艺人。1995年发行首张专辑《OREA》一炮而红，有歌坛“小太阳”之称。曾主演《上海王》、《内线》、《来不及说我爱你》、《天涯明月刀》、《最美的时光》、《十月围城》、《勇士之城》等多部大热电视剧。凭谍战剧《一触即发》中的出色表现成为中国电视金鹰奖打破港台身份限制第一人，获得2012金鹰节观众最喜爱港澳台演员奖。 2014年，其主演的反法西斯战争胜利70周年大型抗战剧《勇士之城》以及年代传奇大剧《十月围城》先后播出，其中《十月围城》入围...(展开全部)', '谭松韵 Songyun Tan': '谭松韵，中国内地女演员。2001年进入四川省舞蹈学校学习古典舞和民间舞，2007年考入北京电影学院表演系。2012年因在《后宫·甄嬛传》中饰演淳贵人而受到关注。2015年在《旋风少女》中饰演范晓萤。2016年在网剧《最好的我们》中饰演女主耿耿，获得更高人气。', '何泓姗 Hongshan He': '何泓姗，女，1987年4月10日出生，平面模特，演员。代表影视作品《第三种爱情》、《团圆饭》，代表电视剧作品《匆匆那年》。'}","['爱情', '古装']",中国大陆,2021-02-26(中国大陆),"
                                　　明朝年间，庶女罗十一娘虽地位卑微却极有主见，认为女子眼光不应局限于内宅格局，她希望能凭靠精湛的刺绣技艺争取所向往的自由人生。意外嫁给永平侯大将军徐令宜后，她用乐观积极的心态对待身边的每一个人，依靠努力收获徐家上下的信任，重新执掌中馈。徐令宜被十一娘的种种美好品性而吸引， 继而为之动心。两人几经周折情愫暗生，先婚后爱相知相许。在丈夫的支持下，十一娘开绣坊仙绫阁，努力传承刺绣技艺。
                                    
                                　　而永平侯徐令宜，为维护家国安宁，改善民生，力挺开放海禁，经历重重困难。在徐家面临抄家灭族的滔天巨祸之时，夫妻齐心合力化解危局，成功护徐氏一族周全，最终促成开放海禁，至此海上贸易繁荣昌盛，沿海百姓安居乐业。夫妻二人情投意合，相信彼此，坚持所爱，一起面对人生风雨，书写了属于他们的传奇人生。
                                    
                                　　该剧改编自吱吱小说《庶女攻略》。
                        ",45,45分钟,2021,52933,"['11.7%', '25.1%', '33.0%', '20.2%', '10.0%']",12392,38078,449,18567
10,觉醒年代,9.1,"{'张永新 Yongxin Zhang': '1992年—1997年在中央戏剧学院导演系导演专业五年制本科学习。1997年毕业分配至山东电影电视剧制作中心任导演。', '于和伟 Hewei Yu': '凭借在新《三国》中饰演的刘备一炮而红  演刘备演得非常好  深受好评  是一个真实的刘备', '张桐 Tong Zhang': '2002年，首次参与拍摄电视剧《花开也有声》\xa0。2004年，在战争剧《亮剑》中饰演魏和尚一角为观众熟知\xa0。2007年，主演战争剧《雾柳镇》\xa0。2008年，主演励志商业剧《一代大商孟洛川》\xa0。2009年，在抗日年代剧《铁梨花》中饰牛旦\xa0\xa0；5月参演近代传奇剧《红槐花》，凭借程牛儿一角入围南方盛典最佳男主角；12月初与曹曦文主演情感伦理剧《野鸭子》饰演杨顺。2010年，主演历...(展开全部)', '张晚意 Wanyi Zhang': '张晚意，1994年4月22日出生于北京市，毕业于北京电影学院，中国内地男演员。'}",['剧情'],中国大陆,2021-02-01(中国大陆),"
                                　　本剧以1915年《青年杂志》问世到1921年《新青年》成为中国共产党机关刊物为贯穿，展现了从新文化运动到中国共产党建立这段波澜壮阔的历史画卷，讲述觉醒年代的百态人生。该剧以李大钊、陈独秀、胡适从相识、相知到分手，走上不同人生道路的传奇故事为基本叙事线，以毛泽东、陈延年、陈乔年、邓中夏、赵世炎等革命青年追求真理的坎坷经历为辅助线，艺术地再现了一批名冠中华的文化大师和一群理想飞扬的热血青年演绎出的一段充满激情、燃烧理想的澎湃岁月。
                        ",43,45分钟,2021,20489,"['67.1%', '25.9%', '4.7%', '1.2%', '1.1%']",,,106,5507
