name,meta,hotIndex,tags,description,id,score
迷你小洞 第2季,更新至第29集,2888,"['搞笑', '热血']",       讲述脑洞悲和脑洞喜在一个被魔族控制的迷你大陆斩妖除怪，拯救众人的故事。上一季脑洞悲和脑洞喜击败石巨人后，被一股神秘的力量吸走，醒来的时候，脑洞悲发现自己身处一个奇怪的世界，这个世界中，所有的怪都被赋予了魔族的力量，它们战斗力很强，与人类为敌，而控制这股邪恶力量的是终极邪恶黑龙，为了拯救芸芸众生，脑洞悲和脑洞喜踏上了除掉邪恶黑龙的征程。在这段艰辛的冒险中，脑洞悲和脑洞喜找到了属于自己的武器，又结识了一群志同道合的朋友，他们互相之前发生了很多搞笑的事情，最后在众人的努力下，成功消灭了邪恶黑龙，是迷你大陆恢复的往日宁静。,4314549282696614,8.5
罗布奥特曼 普通话,25集全,2368,"['热血', '科幻']","在罗布奥特曼中，讲述的是和之前的奥特曼完全不一样的剧情。主人公一共有4个，分别是哥哥胜巳和弟弟勇海，女高中生妹妹，和父亲，他们一起经营着一家生活商品店。但是，命运往往都是不可捉摸的。就在看似平静的日子里，实则蕴藏着杀机。有一头怪兽，从天而降。而这头怪兽，也让原本平平淡淡的一家，完全改变了命运。
特别是哥哥胜巳和弟弟勇海，他们得到了罗布陀螺仪与罗布水晶，哥哥有着泰罗奥特曼的火元素的力量，变身为罗索奥特曼，而弟弟有着银河奥特曼水元素的力量，变身成为布鲁奥特曼。而他们的故事也将围绕着这一家展开，前期因为兄弟俩刚刚得到奥特力量，还不能完全熟悉，因此也产生了很多危机。但是随着兄弟俩的配合以及战斗经历的增加，他们得到的罗布水晶就越来越多，然后就可以不停的变换形态。在这部奥特曼中，我们还将看到兄弟俩除了和怪兽之间战斗的故事，还有他们一整个家族的故事。",218039414,8.5
修罗剑尊,更新至第11集,2949,"['热血', '玄幻', '古装', '动作', '神怪']",       万年之前，刀祖斩杀剑皇，从此天下剑修被贬低、欺凌，直到一个少年出世……楚牧，本是楚家养子，意外获得神器天道卷，立志修炼天道本源诀，为此不惜碎掉自己的刀魂祭养剑魂，因此遭到万人唾弃、背叛，连自己的未婚妻也离他而去。然而楚牧的挑战才刚开始，尽管修行开挂，取得各种神奇武技、法宝、奇兵异兽，敌人却一波更比一波强，面对整个世界对剑修的恶意，楚牧不仅顽强对抗，更学会了以幽默化解。只是命运的转折点已经到来，注定改变一切的楚牧，即将背负更重的担子……修罗业火重燃！一剑灭青云，一剑断万古！,1009625990172514,8.5
蜡笔小新 第7季 普通话,更新至第225集,3267,"['搞笑', '日常', '合家欢']",《蜡笔小新》是一部描写主人公野原新之助和周围人群的日常生活的搞笑喜剧片。调皮的野原新之助作已经是最为知名的动漫角色形象之一。,7583375112074114,8.5
捷德奥特曼 普通话,25集全,2633,"['热血', '科幻']",  拥有邪恶奥特曼战士贝利亚奥特曼遗传因子的青年朝仓陆！...此刻！苦痛的天命，自我的证明！,213892414,8
皇帝陛下的天价宝贝,更新至第11集,2122,"['搞笑', '治愈', '励志', '魔幻']",       成为了国王的小公主？全世界都在重男轻女？大臣可以随意处死堂堂一国公主？所以，为了活下去她只能讨好国王粑粑和淘气哥哥？不，顾咕咕表示不愿意！她不但不想讨好这些男人们，甚至还想竞争王位做个女王！并且当着几千名大臣的面骂了她国王爹是坏蛋！奇怪的是骂完之后，她的父王不但没有生气，还用时空门带她见识了不一样的世界！广阔星际浩宇生命千千万万，有百年小绿人，千年树女王，万年吸血鬼……,5479294093556914,8.5
鲨鱼哥和美人鱼 第2季,更新至第46集,1481,[],无论是在公海、沙滩还是远洋轮渡上，饥饿的鬣狗只有一个念头：把美人鱼Marina当作盘中餐。在天才寄居蟹伯尼的帮助下，他想出了一个最疯狂的猎捕计划......但显然，他忘记了鲨鱼哥的存在——这条浑身肌肉的大鲨鱼会倾尽全力去保护他亲爱的美人鱼！,252448901,8.5
海绵宝宝,334集全,2889,"['搞笑', '恋爱', '合家欢']",《海绵宝宝》(SpongeBob SquarePants)是美国著名的系列电视动画，1999年在尼克国际儿童频道开播，至今仍持续制播中，创始者是史蒂芬·海伦伯格(Stephen Hillenburg)。动画场景设定于太平洋海底，一座称为比奇堡(Bikini Bottom)的城市，故事围绕主角海绵宝宝和他的好朋友们展开。由于剧情幽默、寓教于乐且充满想象力，受到许多儿童及成年观众喜爱，并被翻译成多国语言版本，成为风靡世界的作品。伴随着动画热播，推出游戏、电影及各类周边商品。【故事简介】海绵宝宝是方块形的黄色海绵，住在比奇（基）堡海滩深海的一个菠萝(凤梨)里，他的宠物是一只会“猫~猫~”的小蜗（海蜗牛），海绵宝宝喜欢捕捉水母，职业是蟹堡王里的头号厨师。派大星，章鱼哥和姗迪都是他的朋友。海绵宝宝总是能给平静的比奇（基）堡海滩制造麻烦，虽然闹出一些笑话，不过他总能摆脱困境，然后又制造新的麻烦。,207415314,7.5
龙珠超,131集全,2393,"['热血', '冒险']",《龙珠》新系列动画的舞台为悟空与魔人布欧的壮绝战斗结束后，地球重新恢复和平之后发生的故事。与自漫长沉睡中觉醒的破坏神比鲁斯的相遇，加上曾经被人敬畏为“宇宙帝王”的弗利萨的复活，在这些接连迫近悟空等人的威胁之上，地球周边还发生了星球消失的不可思议现象，更有神秘的新角色“象帕”登场。,207436714,8.1
关于我转生变成史莱姆这档事 第2季,更新至第10集,2033,"['热血', '冒险', '英雄', '穿越']","　　主人公利姆露与仰慕他而聚集的众多魔物们所建立的国家＜朱拉·坦派斯特联邦国＞，经由与邻国的协议及交易，让「人类与魔物共同漫步的国家」这一温柔的理想逐步成形。利姆露身为曾是人类的史莱姆，从根本上拥有「对人类的好意」……但这个世界中却存在着明确的「对魔物的敌意」。
　　当这一无理的现实摆在眼前时，利姆露将做出选择。做出「不希望失去什么」的选择——万众期待的转生喜剧突入暴风的新章！",6052842674662414,8.5
