type,rank,title,author,tags,description,popularity,likes,follows,comments
人气榜,1,谷围南亭,墨飞,"['奇幻', '剧情']",一心只想去广美上大学的话痨少年高影，误入南亭村大清王朝酒店，却被卷入了一场百年浩劫的神秘纷争。千古罪人清朝镇南王胤霆，独守三百年，终于等到了这位天选之人，将”太岁“彻底封印，是意外，还是命运早已安排他们相遇？【独家/每月10、20、30号更新/责编：橘子】,27208848349,18844407,3174537,1639206
人气榜,2,退退退退下！,布丁琉璃（原著）+鸠羽/诶嘿工作室,"['恋爱', '剧情']","只因六年前一句无心话，落魄长公主竟被逼嫁给权倾朝野的东厂提督？真公主与假太监，真是冤家路窄呵！新婚之夜，沈提督将她抵在榻上，凌厉一笑，“臣有笔陈年旧帐，想同长公主算算。”长宁泪眼汪汪地望着咫尺外的俊美男人，颤抖道:“别过来，退退退退下！”不过，沈提督你这旧账算得,怎么有点甜呢？",104868858,151032,368188,6198
人气榜,3,非人哉,一汪空气,"['奇幻', '剧情']",萌化后的神怪在人间，爆笑日常更新中【授权/每周六更新 责编：小林酱】,16628374027,66524589,4953264,1578046
人气榜,4,前任战争3-好女孩,SASA夏蒂（主笔）+谨斯里（编剧）,"['恋爱', '奇幻']","其貌不扬的女主因性格原因惨遭内衣设计师男友劈腿，在AI恋爱导师的帮助下，女主逆袭泡到曾经高不可攀的男神，还发挥自己的设计天赋与有管理经验的女二一起搞事业，创立了新锐女性内衣品牌，并购了前任的公司……恋爱败兵最终成为了精神和经济都独立的女王。
【独家/每周日更新 责编：33】",34149003706,29719296,5668348,1051214
人气榜,5,贫穷父女,Kula,"['爆笑', '萌系']",无厘头老爸和叛逆少女，穷到吃土还互坑。单身父亲为了挣钱做了很多奇怪的工作，女儿在学校里也与同学们格格不入。反差萌父女的爆笑日常，让你笑到停不下来！拍！桌！推！荐！【独家/每周一更新 责编:33 】,40616704051,69444207,6416651,1932287
人气榜,6,星辰于我,犬一,"['日常', '治愈']",沐子星五岁时，一个好看的男孩子.司南，如春天的景象一般，突然出现在她的生活里，成为了她的青梅竹马。第一次见面就在玩泥巴而被司南嫌弃后的子星，本以为是被讨厌了，却不知，身边这个清冷又扎眼的少年，一直被她的开朗和笑容所吸引着，这份心情也随着年岁的增长，愈来愈深刻...【独家/周一更新 责编：莫莉】,5763126501,5458412,2564308,346004
人气榜,7,叼只少爷回家,炎久,"['校园', '纯爱']","昙家小少爷昙邵二十年没谈过恋爱，头一回动心，就是一见钟情。为了得到意中人的下落，昙邵主动接近冷淡的裴安吾，却没有认出，原来他就是那个让他动心的“女生”……
而随着分化的来临，他们的关系也在发生微妙的变化……【独家/每周五更新 责编：小k】",212975002,487629,597400,17850
人气榜,8,此星,TUTU,"['剧情', '热血']","曾经的炎业国王族之子，在故国内乱中流落飘零。历经生死看透别离，万念俱灰之际被敌国难民收养，故国间的血海深仇，亲人间的温情救赎，王族末裔在爱恨交织中浴火重生，为了守护所爱之人重燃信念，踏上了救赎之路 【独家/每周三更新 /责编：33】
",209037684,128888,119283,7384
人气榜,9,超能立方,水落声声,"['奇幻', '剧情']",平凡男生偶得女神垂青，却惹上黑道大佬，机缘巧合之下获得了神秘立方体，开启超能之路，从此，行侠仗义，快意恩仇，踏上属于自己的强者之旅。【独家/每周二更新  责编：三石兄】,39358203980,25513628,2707553,692029
人气榜,10,妻为上,绿野千鹤（原著）+ 博易漫画,"['剧情', '古风']",景韶战功赫赫，却遭人诬陷落得鸟尽弓藏，没想到最后对他不离不弃的，是一个冷落了十几年的男妻……重生一次，景韶决定洗心革面，追求男妻，然而事情好像没有他想的那么简单，看来追妻路漫漫……【独家/每周六更新 责编：菓子】,1626682680,2840477,1089538,113871
畅销榜,1,我独自升级,DUBU(主笔) + Chugong（原著）,"['奇幻', '剧情']","10年前，世界与其他次元连接的“门”被打开，各种魔物不断出现，于是乎能力各异的猎魔者也随之出现，被成为“猎人”。程肖宇是一名实力最弱的E级猎人，在一次挑战任务中，遇到了可怕的隐藏挑战。生死存亡之际，他居然获得了升级系统！在系统的利用下，他能成为最强猎人吗
【独家/每周六更新 责编：998】",17173000567,4429690,1666421,368718
畅销榜,2,某天成为公主,Spoon+Plutus+CARROTOON,"['剧情', '唯美']","某天醒来,我竟然变成了公主!
而且还是死在自己亲生父亲手里的悲催公主!
铁石心肠的冷血皇帝，如果不想死的话，
就不要在他面前晃悠！
但是，""我的王城里什么时候有虫子了?""
最终还是被他注意到了，我能活下来吗?
我该怎么办？！【独家/每月10/20/30号更新 责编：漠漠】",29936765729,19364877,4723844,1362970
畅销榜,3,恋爱手游的男主都很危险,SUOL(主笔) + Gwon Gyeoeul（原著）,"['恋爱', '韩漫']","穿越成乙女手游中的反派，不论如何选择，结局都是死亡？冷漠大哥、毒舌二哥、嗜血皇太子、神秘魔法师、小狼狗骑士…身为失宠的公爵养女，在""真正的公爵千金""出现前，必须攻略一个男主才能活下去…可这五个人都很危险的样子怎么办？【独家/每周一更新 责编：漠漠】

",995653147,1173616,422640,34215
畅销榜,4,三岁开始做王者,主笔：Fuyuki23；原著：TurtleMe；出品方：Tapas,"['奇幻', '剧情']","曾经的一国之君意外身亡，穿越到魔法世界却成为手无缚鸡之力的婴儿？好吧，在壮阔而神秘的世界从零开始！
比修炼更重要的是，他要先学会如何自己上厕所…
离开襁褓成为强者，失去了尊贵王冠的他，用利剑为自己加冕！
【独家/每周一更新 责编：998】
",3334332759,1385183,826649,73019
畅销榜,5,养敌为患,风与自然（原著）+博易动漫,"['剧情', '古风']",穿到书里，还成了惨死的炮灰女配？ 夜沐表示她没时间玩游戏，那就弄死男主让世界崩坏了出去！ 可看着面前骨瘦嶙峋的小男孩，她下不去手…… 怎么办？养大男主，让他去帮自己？这主意可以！ 但她养着养着，男主貌似长歪了！ 夜沐泪流满面，说好的正直明君呢？她可以重新来吗？【独家/每周一更新 责编：阿宅】,3979322115,3157387,1662509,179634
畅销榜,6,女王的手术刀,流人(原著) +mini（主笔）+Kidarient（出品）,"['恋爱', '奇幻']","前世的性命被爱人亲手断送，今生毒皇后会坚地定成为济世良医，还是再次接受他的情意？
战争不断的大陆，悬而未定的皇位，痴心于她的两个人……重要的是皇位还是你？是生命还是爱情？或许答案早已注定。【独家/每周一更新 更五休一 责编：漠漠】",28790201101,33084902,4858467,922320
畅销榜,7,魔皇大管家,夜枭（原著）+無二漫画,"['奇幻', '古风']",魔皇卓一凡因得到上古魔帝传承，遭亲信背叛并引来杀身之祸。重生后修为归零的他又被心魔所困，不得不成为一个落寞家族大小姐的专属管家。从魔皇到小小管家，他究竟要怎样和自己的“心魔大小姐”相处，又如何才能带领这个没落家族和自己一起重回这片大陆的巅峰呢！【每周六更新两话  责编：金小明】,6889684075,3127033,1153681,143221
畅销榜,8,穿越成反派要如何活命,王一（主笔）+伊依以翼（原著）,"['剧情', '古风']","总裁得了绝症意外穿书，竟穿成要被小说男主杀死的反派君王？！这个小说男主还是被自己锁在牢笼的敌国皇子…感觉离死期又进了一步！不行！为了活命只能抱紧他的大腿怒刷好感度,没曾想我们之间不仅仅是隔着仇恨这么简单……
【独家/每周五更新  责编：耳朵】",6651159417,10542238,2153271,477689
畅销榜,9,哑奴,百里君兮（主笔）+羌塘（原著）,"['剧情', '古风']","变态蛮霸王爷×软弱代嫁哑奴，镇北王看上沈知府家的千金，要纳她为妾。沈知府家的哑巴男奴沈玉为了母亲能安度晚年，隐藏自己的男儿身，代替知府千金被送给了权势滔天的‘活阎罗’镇北王君玄枭。沈玉生怕身份暴露后会命丧王府，不料却得到君玄枭的注意……

【独家/每周二更新  责编：一白】",5679785430,7081398,2175968,620411
畅销榜,10,闪婚总裁契约妻,拈花拂柳（原著）+拾部漫画,"['恋爱', '都市']",闺蜜的一场精心设计，她的第一次被高冷邪魅的总裁夺走，曾经恩爱的恋情也因此被葬送。他潇洒的扔下一纸婚契约，无视她的抗拒，对全天下宣告他的占有。【独家/每周三更新 责编：耳朵】,23635336309,21581586,3955858,610584
