"ability","s.e."
"Abbedagge",1,0
"Adam",0.552543471808471,0.414568263097685
"Ale",0.961231224374436,0.38926362376988
"Alphari",0.79961652950413,0.351851758600133
"Aria",0.545024161995604,0.696047667044491
"Armut",0.917742187118892,0.405312612625533
"Bdd",1.09490504453569,0.387243884650736
"BeryL",0.309183481492724,1.22611886337852
"Blaber",0.449776740651909,0.456535230721012
"Bwipo",0.507875439141823,0.352907925393792
"Canna",1.55785219195809,0.380106760363091
"Canyon",0.810046661510523,0.332673203353738
"Carzzy",0.799821712728326,0.352613543879619
"Chovy",1.09463273497082,0.459606649480571
"Clid",0.726434871173357,0.336168703760967
"Closer",1.10895281165834,0.42294590713639
"CoreJJ",0.526460537594309,0.351984382219057
"Crisp",0.83700303613608,0.33381665875991
"Cryin",0.727784942632029,0.375715123283598
"Deft",1.08655931075633,0.391891971840385
"Doinb",0.5822198767301,0.329118420838791
"DuDu",0.6753182559535,0.349065953345089
"Elyoya",0.79924529992272,0.340747340722725
"Evi",1.08416178097593,0.594268798470355
"Faker",0.851966765380864,0.365756712188556
"FBI",0.581285665307535,0.495972285913721
"Flandre",0.683129688491051,0.359013283899218
"Fudge",0.533185892825593,0.566449615181255
"Gaeng",1.26352212903163,0.462547302192269
"GALA",0.953823180193593,0.335040124321557
"Ghost",0.862720711350522,0.393247750213359
"Gumayusi",0.982587558277187,0.33205475418596
"Hanabi",0.722163398841149,0.360197851120015
"Hans-sama",0.996263703178743,0.377896787453247
"Huhi",0.3752351796683,0.519396682470813
"Humanoid",0.443678560041278,0.410981272620533
"Hylissang",0.716587906210432,0.735356719491315
"icon",0.639485603372231,0.357095229436547
"Inspired",1.54591740746362,2.32690321634651
"Iwandy",0.816250140435913,0.323377440941766
"Jensen",0.910576075745413,0.373812815095907
"Jiejie",0.773240365294468,0.330496567935994
"Kaiser",1.0375632529587,0.381919411191226
"Kaiwing",1.33139424643709,0.462399318337564
"Keria",0.98071324699863,0.403300042395467
"Khan",0.872780560819716,0.352798964750288
"Larssen",0.41293524762088,0.402673496205014
"Life",0.758732468817392,0.365644257756648
"Light",0.926398442941165,0.349848647212346
"Lwx",0.636867667645392,0.344131501880266
"Maple",0.977798870960941,0.382056965235564
"Meiko",1.09474893178589,0.335031695187519
"Ming",0.740545853891922,0.346095170107349
"Morgan",1.05869135279367,0.395863737603122
"Nisqy",1.1043537762083,0.395032553350585
"Nuguri",0.922757496743229,0.32229240382157
"Odoamne",1.05160218649876,0.469767745463843
"Perkz",0.234229910221761,0.863759405069188
"Rascal",0.666550099809679,0.328262246156918
"River",0.763533653588137,0.394336787572612
"Ruler",0.844506986402177,0.35131442474474
"Santorin",0.548365869878618,0.398952626802884
"Scout",0.919561971969008,0.365698757643493
"ShowMaker",1.35187162709935,0.360447439433936
"Ssumday",0.389208744941665,0.38520581986071
"Steal",0.554221723127903,0.527367522641155
"Tactical",1.42716840021408,0.406587865125801
"Tarzan",0.684772178900279,0.346356552818605
"Tian",1.6510073935028,0.365229385058785
"Trymbi",1.2348458331716,0.492782056937688
"Unified",0.915685189382339,0.376490827466477
"Upset",0.760152713164652,0.952418078675301
"Viper",0.789589789471738,0.341312248090536
"Vsta",1.38868238221259,0.392605363331011
"Vulcan",1.37358103097613,0.455337835971691
"Wei",1.22245723382191,0.34186765661854
"Willer",0.611393730172042,0.394193196265067
"Xiaohu",1.23205473190709,0.349160640611396
"xiaolaohu",0.833906749560034,0.327232159965193
"yoHan",1.27279988943434,0.474450107618367
"Yutapon",2.99063123526634,1.00094737804144
"Zven",0.724388807596915,0.366544196505206
"Oner",1.03208566242664,0.329074028817368
"Noob",0.515305802487874,0.284860044426054
